Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
10.5669,72.642,81.12,84,71,22.88
78.2186,15.6401,48.04,71,75,11.5
32.3817,-64.6781,83.98,72,40,1.14
-34.4833,-54.3333,44.73,91,65,5.12
-22.6667,167.4833,67.86,56,24,20.07
11.3046,75.8777,75.83,94,93,3.02
52.8429,86.4787,58.55,92,30,2.21
16.9692,-88.2321,79.54,85,100,11.63
-3.3667,135.4833,78.93,79,31,2.8
1.3038,124.9112,71.69,79,67,0.45
36.9537,14.5332,72.12,88,40,2.3
-2.9248,-39.9167,77.34,80,9,16.08
7.5333,-80.0333,81.07,81,100,5.91
-20.3428,57.7575,66.22,70,97,20.45
57.79,-152.4072,56.71,88,100,8.05
46.4856,135.8833,64.04,70,36,6.58
15.7432,-96.4661,87.82,65,95,6.85
40.5308,-112.2983,90.95,37,0,6.91
-35.7167,150.1833,53.1,69,100,3.83
41.9322,123.5114,66.11,80,27,7.18
65.8522,44.24,54.99,72,95,7.02
69.4541,-133.0374,48.13,72,100,21.27
34.7667,32.4167,78.58,78,75,4.61
69.3,139.9,60.22,58,95,1.95
10.9878,-74.9547,83.07,80,99,18.23
68.0531,39.5131,58.87,70,100,23.49
-38.9516,-68.0591,40.89,87,0,5.75
-33.6971,-53.4616,48.22,86,24,5.37
40.5982,-124.1573,74.93,63,20,16.11
52.9821,84.6757,60.08,87,40,4.52
9.9694,-71.1494,82.74,70,100,1.3
50.7056,1.5757,71.29,85,1,12.55
-42.4721,-73.7732,51.17,96,100,12.66
69.3833,178.4167,46.87,83,72,3.51
34.8791,-76.9013,89.06,78,38,1.01
-38.3833,142.4833,50.41,87,100,16.37
-46.2817,169.8464,40.17,87,92,1.61
65.5833,-171.0,51.26,76,100,1.7
-15.9387,-5.7168,62.13,76,100,17.02
-33.9258,18.4232,56.26,93,95,3.0
-2.5744,150.7967,81.18,75,99,4.45
2.1484,27.9947,66.78,91,93,1.86
-28.7667,114.6,39.61,87,0,4.61
-33.0153,27.9116,61.18,79,78,3.44
5.7833,36.5667,65.37,66,100,4.32
25.6167,75.2833,81.7,74,87,11.9
61.2767,108.0108,57.79,83,100,4.14
38.5167,-28.7,72.88,72,67,10.25
-8.8978,-35.1478,74.32,79,2,5.53
-15.8631,-38.8828,74.1,78,6,13.69
49.6311,72.8539,59.38,94,87,6.22
0.0487,18.2603,73.69,68,42,4.0
64.3833,-173.3,55.51,82,0,4.0
-45.8667,-67.5,57.06,41,0,2.3
-6.8844,112.2051,75.6,90,52,6.67
29.1268,15.9477,81.32,43,0,8.9
25.25,79.0667,80.44,81,86,17.2
13.0833,109.3,77.63,80,95,10.71
-25.2986,152.8535,65.53,61,7,11.61
-30.1811,-50.2056,58.28,74,24,9.08
-2.0226,147.2712,83.3,72,94,5.79
66.8333,70.8333,47.08,74,16,6.51
-33.0117,17.9442,55.04,92,93,2.53
51.0736,132.5642,56.25,94,99,2.39
16.6,-22.9,77.23,80,99,12.28
39.2446,55.5154,82.56,21,1,8.93
-37.8333,140.7667,47.88,88,81,9.8
-38.5473,-58.7368,45.77,80,63,10.29
-5.1989,-35.4608,74.75,81,5,11.79
-33.5906,26.891,60.6,82,89,5.75
67.45,153.6833,73.11,49,46,4.81
-37.6167,-73.65,47.86,85,1,1.63
71.9667,102.5,44.1,76,100,11.41
-21.3585,55.7679,63.99,81,63,15.23
64.5011,-165.4064,50.16,93,100,10.36
65.5842,22.1547,64.47,77,100,13.8
45.4668,-76.6827,76.01,60,2,6.17
71.6872,128.8694,52.72,68,28,5.95
63.4427,-20.2734,51.21,81,97,12.28
71.9167,114.0833,50.0,76,56,13.47
-2.6741,141.3028,78.91,85,100,4.9
39.05,-27.9833,70.84,72,85,6.51
56.45,138.1667,55.47,97,100,7.74
-19.7697,-43.8514,65.3,57,99,13.0
73.5069,80.5464,41.76,90,99,10.94
65.9667,78.3667,51.73,71,100,6.55
32.2915,-64.778,84.24,78,40,5.01
71.2906,-156.7887,46.42,87,100,14.97
-4.2761,-55.9836,85.35,39,73,1.97
55.7435,-97.8558,72.82,31,36,4.92
14.0453,124.1694,81.23,78,88,2.98
41.5539,69.7008,72.45,35,0,3.89
54.0524,-128.6534,87.91,45,0,1.77
15.936,120.1786,78.35,86,83,3.44
-9.0763,143.2092,77.38,84,87,18.19
50.2334,-63.5986,61.14,84,2,6.08
4.1363,96.1285,75.69,88,79,3.76
53.1748,5.4224,66.18,94,1,12.26
41.3712,-73.414,83.86,64,75,3.44
66.0449,-17.3389,44.96,86,96,3.31
-21.6403,-41.0511,74.19,79,100,5.32
17.1333,-62.6167,77.81,92,9,4.0
34.5,62.0,70.5,22,0,27.18
3.7833,72.9667,80.73,81,31,8.21
20.1167,-104.3333,72.32,76,99,4.52
30.4833,-115.95,77.9,65,53,11.99
32.1939,-115.0017,104.74,28,26,10.74
21.2667,-97.45,85.95,64,47,12.37
-15.7167,46.3167,70.72,54,0,19.77
59.7035,30.7861,58.87,79,49,3.98
32.1167,20.0667,81.25,65,0,8.95
-19.2333,17.7167,66.18,15,0,6.53
-20.4081,57.7,66.25,82,75,11.5
-24.8667,113.6333,55.22,55,0,16.91
-22.116,14.2845,53.44,93,0,7.9
35.7333,140.8333,84.6,84,74,16.22
53.0452,158.6483,61.39,77,75,2.24
0.0939,33.9756,69.82,71,91,7.99
-5.6667,132.75,80.11,81,62,17.4
-16.0999,167.4164,76.15,71,93,16.4
60.4667,166.1,51.19,96,100,8.88
5.965,-75.9654,68.61,91,83,3.56
-14.9003,50.2788,65.77,82,54,9.78
-20.7333,139.5,58.77,41,0,0.0
60.1432,-45.2371,44.65,94,95,9.55
-30.4,27.7003,50.94,45,69,2.53
-0.9747,-62.9242,80.17,56,65,2.39
11.2333,79.8333,80.35,66,90,11.5
-26.5833,148.7833,55.94,76,100,12.53
-4.6167,55.45,74.46,83,40,17.27
-3.8004,102.2655,74.7,87,40,4.0
39.2911,44.4521,68.61,55,0,2.84
-17.9167,15.95,64.17,16,0,8.59
67.8006,130.4114,64.51,53,24,2.19
52.4752,1.7516,62.42,88,2,9.98
-13.2,49.05,63.5,76,2,3.98
-35.6167,174.5,53.78,86,70,19.1
-10.4544,161.9205,82.31,78,37,9.19
50.6996,-127.4199,65.14,78,95,12.01
5.8933,95.3214,81.7,75,99,14.45
44.7561,136.2939,72.9,63,97,3.62
54.3419,101.5036,55.31,97,92,4.41
26.9333,-105.4,81.36,36,86,8.95
54.1001,77.6646,61.63,85,84,8.46
-20.7511,-51.6783,55.98,65,8,8.93
0.9,104.6333,82.26,79,65,10.31
64.0721,11.2172,58.78,92,100,24.47
45.6169,-61.9986,64.15,91,100,7.29
69.7008,170.3133,40.77,91,98,4.16
60.3067,22.301,64.89,82,99,17.02
-35.1,173.7833,58.32,82,94,10.6
-33.8667,121.9,56.16,73,69,18.66
-28.5708,-70.7581,68.83,27,72,2.59
-25.1667,45.05,64.26,63,40,8.55
4.9333,-52.3333,83.08,1,0,3.44
18.6853,12.9164,98.15,12,58,18.16
32.5833,131.6667,80.8,88,83,1.7
22.5667,59.5289,88.54,57,100,11.25
29.2892,121.4247,81.09,86,58,3.29
-5.1347,-49.3267,84.52,47,29,2.26
64.8945,-23.7142,48.47,79,95,6.44
-3.2033,-52.2064,82.27,44,70,0.16
64.2539,-15.2082,53.11,67,14,5.37
69.6496,18.957,54.37,94,75,12.66
37.6138,-122.4869,84.61,75,20,24.16
-20.3167,118.5667,60.85,41,40,12.66
65.6145,-37.6368,42.96,77,100,6.17
49.0869,140.2543,71.8,56,51,6.91
36.6177,-121.9166,85.55,72,0,13.8
27.9167,96.1667,76.57,86,40,2.17
60.3725,93.0408,52.05,99,30,2.75
-2.65,10.0,69.17,94,26,6.04
1.1983,-70.1733,72.55,99,96,2.93
-38.0023,-57.5575,51.94,74,0,6.91
43.4065,-124.2243,76.24,79,20,8.05
60.9167,-46.05,46.62,90,100,6.53
63.05,179.3167,60.24,71,9,4.27
-6.2167,155.6333,82.72,76,97,4.76
64.8569,-147.8028,64.58,47,40,3.44
48.8264,58.1442,72.99,47,2,7.45
-43.3002,-65.1023,52.16,49,100,5.95
26.3544,127.8686,85.23,84,0,3.44
54.7169,-113.2854,78.82,47,0,9.4
-17.7125,-39.2481,74.08,72,24,16.24
-0.9492,100.3543,77.14,82,35,2.95
65.1716,57.091,52.9,61,100,3.4
13.6393,4.0287,87.42,52,13,7.54
-11.3649,29.5565,60.37,48,4,6.2
37.6775,-113.0619,85.17,32,40,9.22
14.5333,20.9167,79.5,71,75,6.11
-0.6,73.0833,81.77,74,18,7.36
-8.19,114.9675,75.36,88,25,2.95
34.6391,-120.4579,87.69,62,0,17.27
47.0511,142.0569,68.7,90,80,12.1
-8.3831,-35.4525,66.47,92,4,2.24
62.9088,6.9145,58.95,96,100,29.15
-8.4667,140.3333,77.56,82,65,15.43
17.1994,-25.0919,80.38,82,73,10.65
63.8424,-22.4338,49.95,93,75,6.91
44.6667,3.5,57.47,59,28,3.2
20.1986,1.0114,90.79,33,72,13.91
-10.1,-76.5833,45.68,81,88,5.53
13.7796,124.39,80.89,78,80,1.52
47.9077,106.8832,51.93,87,40,4.47
-16.7,-151.0167,78.01,70,0,9.64
-11.7022,43.2551,74.97,60,1,4.47
39.415,63.8033,73.35,27,0,14.0
49.0999,-116.5021,87.42,47,100,1.41
5.4906,-70.4092,76.37,87,75,2.01
55.1431,37.4711,58.89,75,100,6.93
-38.3333,141.6,49.32,88,100,12.88
33.7333,135.9833,83.08,78,100,2.08
-45.4167,167.7167,38.79,80,28,0.29
25.5333,89.8667,79.3,79,45,11.63
44.9931,37.2719,78.44,50,20,11.01
-34.2833,146.0333,52.97,80,100,13.94
22.6783,-3.9836,101.44,12,63,6.11
-12.0432,-77.0282,62.91,77,100,6.91
46.6806,113.2792,61.03,62,88,2.15
19.2167,-104.7,87.57,63,98,5.39
24.0833,-105.9333,70.57,94,92,3.27
4.9247,6.2642,73.92,95,96,4.23
15.35,75.1667,70.83,89,100,22.73
-21.6924,165.677,69.96,55,2,19.98
34.3833,131.2,82.65,81,100,6.71
4.7912,-71.3354,77.36,85,77,1.99
5.4802,-53.2011,79.5,83,15,10.25
48.8286,-67.522,61.21,81,10,2.15
60.7522,-137.5108,46.29,91,100,0.81
-8.7676,160.7034,83.41,68,30,3.09
7.9803,49.8164,78.15,73,100,22.06
9.4428,-78.5906,80.47,87,99,7.99
34.1667,77.5833,66.09,53,82,4.68
38.1711,13.2393,80.2,53,0,8.05
65.9811,60.3094,50.02,74,95,6.24
14.7328,-6.1219,82.81,69,99,8.39
-20.1,146.2667,64.9,60,1,11.95
4.1213,43.8894,69.67,77,73,18.03
-13.8483,136.4192,75.67,80,1,12.1
22.8909,-109.9124,94.6,66,75,17.27
3.0707,172.7902,82.08,72,90,20.02
14.0833,98.2,75.33,94,100,0.69
-9.5618,-48.3967,84.13,25,0,3.38
20.3167,-90.05,82.0,72,85,2.08
-19.55,169.2667,73.51,56,75,6.91
-31.6667,116.6667,41.05,94,0,2.91
-9.4333,159.95,83.91,69,41,5.5
56.8471,105.2542,55.15,83,99,2.44
-5.3833,39.7,74.25,81,30,11.7
-8.145,159.5921,83.37,72,62,7.92
-29.9533,-71.3436,53.33,93,0,5.75
34.5667,76.1,59.88,66,69,6.93
-6.6603,-69.8736,74.86,77,48,0.81
20.8947,-156.47,91.42,46,20,23.02
42.0551,59.3788,69.89,52,0,7.99
-11.7461,-44.91,77.25,24,1,4.25
21.2311,-86.731,77.05,83,92,10.8
-10.1667,123.5833,75.7,78,43,5.77
-26.6481,15.1594,57.83,60,31,4.88
-22.0016,148.0466,61.18,74,41,13.22
35.1333,140.3,82.54,83,75,15.1
38.5004,-77.9664,73.69,97,75,0.0
65.282,-126.8329,57.11,47,97,11.32
60.5544,-151.2583,66.29,49,0,16.11
45.2333,147.8833,63.93,96,76,3.76
-41.7526,171.6037,48.25,58,11,3.71
-3.2778,-39.2689,77.36,80,22,12.64
57.6935,71.1665,55.83,80,18,5.41
-46.1333,167.6833,41.0,81,17,3.94
18.2164,42.5053,67.82,94,0,5.75
-34.7333,135.8667,50.2,76,64,28.27
-13.7,-76.2167,62.65,77,20,6.91
60.7167,-46.0333,44.58,90,100,5.97
43.9783,46.6985,75.11,62,0,13.98
49.758,129.523,58.75,89,63,4.16
20.7,-105.2,82.22,78,100,0.0
13.049,3.1937,82.65,65,26,7.63
49.4833,-113.952,86.59,23,98,11.97
-5.45,-42.3667,82.2,30,47,3.0
14.8961,-24.4956,78.04,86,73,8.72
-34.0033,24.7314,50.88,85,99,4.14
-20.5167,57.5167,64.78,82,75,11.5
1.0,-52.0,76.28,80,100,2.33
-7.9386,110.2506,74.97,92,70,5.95
-28.45,18.7333,58.46,26,90,4.21
19.2667,75.75,74.48,82,100,17.16
65.4167,-52.9,43.34,87,100,3.62
-7.3,27.4167,72.61,22,59,3.42
23.9912,-104.6749,62.26,32,86,16.31
44.445,15.0575,79.38,56,12,13.71
56.2719,54.9309,62.8,94,42,4.38
-6.1349,12.3689,68.43,90,15,6.04
2.0371,45.3438,75.33,86,100,19.55
2.8892,-72.1256,74.39,92,58,2.46
41.7597,86.1469,85.96,27,49,13.91
-31.4333,152.9167,53.89,66,46,4.16
21.4612,-71.1419,81.57,78,3,19.13
-3.6954,128.1814,73.54,100,40,6.91
21.2833,-89.6667,75.11,91,57,11.27
45.2167,127.9667,64.94,88,14,11.59
51.8333,143.1667,60.19,84,59,6.4
4.423,-7.3528,75.34,80,89,7.25
38.4362,57.4316,80.04,24,1,4.36
14.7839,-60.9927,79.84,86,91,1.01
36.2133,58.7958,69.8,31,0,2.39
50.3508,106.4494,58.24,84,73,4.12
34.6667,138.95,82.76,78,70,4.61
53.6039,91.3903,57.09,82,0,0.0
18.0858,-15.9785,84.13,84,77,19.22
-6.2167,149.55,79.72,87,98,11.14
-27.3167,-57.6667,52.88,76,40,6.73
18.4167,-64.6167,84.29,78,40,9.22
37.7167,-25.4333,72.19,73,55,5.41
-51.6226,-69.2181,39.25,87,0,4.61
62.2266,-6.589,52.72,84,37,20.76
-20.3297,-40.2925,76.95,74,0,11.01
61.67,96.37,57.63,90,100,4.38
47.9417,-97.4337,76.93,44,0,11.5
60.6333,24.8667,62.96,89,100,1.99
25.0,-107.5,87.62,54,72,10.92
27.181,31.1837,85.98,31,0,10.04
-14.8031,36.5372,64.71,57,52,3.53
69.2167,-51.1,42.82,87,75,8.05
45.4375,40.5756,75.33,45,16,8.75
43.0369,74.7114,60.84,77,20,6.71
61.6926,33.6216,60.03,82,92,5.91
29.1614,16.139,80.6,46,0,9.84
45.4686,39.4519,78.94,38,71,11.65
-1.6822,-50.4803,80.47,67,93,5.91
16.5167,-98.75,85.5,67,94,10.67
52.1408,-10.2689,60.37,76,0,5.91
-10.7073,22.2247,64.13,23,2,4.12
13.2833,-88.55,85.17,71,67,7.78
-4.3614,14.7644,75.7,53,41,7.94
61.3614,63.5842,61.84,64,94,7.94
70.9821,25.9704,56.95,88,100,9.22
26.4667,80.35,82.53,71,100,22.32
-13.8833,167.55,79.74,78,82,24.23
29.5667,-104.4167,99.57,30,40,8.05
-35.1667,173.1667,56.8,68,94,7.31
15.85,-97.0667,84.24,74,100,7.58
-0.4536,39.6401,71.76,82,71,15.26
23.1,-74.9833,82.08,79,100,18.45
6.1241,81.1185,77.27,86,74,16.55
58.4308,29.3654,52.68,70,24,2.44
66.9395,-53.6735,42.84,89,99,3.38
-11.213,33.1521,64.83,53,0,4.54
-2.0833,101.3833,63.28,95,68,3.04
-30.8636,30.3705,65.23,84,73,3.69
64.75,177.4833,66.7,63,0,8.95
47.0667,51.8667,73.4,38,0,11.18
61.95,159.2333,53.69,94,100,5.91
58.965,-3.296,58.96,88,94,5.99
4.375,-7.7169,75.67,78,86,7.49
16.5167,-90.1667,75.22,96,92,5.53
49.6501,-108.4181,86.23,23,100,16.71
28.1667,94.7667,72.72,97,33,1.48
21.05,75.7667,75.13,97,100,11.83
-14.4667,132.2667,75.52,57,8,2.3
-32.035,-52.0986,53.71,89,39,9.89
31.6864,113.4659,81.5,75,86,6.55
70.0311,20.9714,55.4,91,100,4.88
51.3223,42.7678,75.33,43,90,9.44
56.3444,114.8794,56.77,82,46,2.39
-16.4833,-151.75,77.92,70,0,5.97
-23.8833,24.75,56.64,36,0,7.58
-17.8786,36.8883,67.95,94,0,2.3
-23.7972,-52.2692,52.9,95,26,4.29
30.1897,-82.6393,84.61,78,0,0.0
71.0357,27.8492,55.35,94,75,3.44
34.2542,-110.0298,68.29,80,0,4.61
36.3209,41.8754,84.47,43,0,8.99
-33.0393,-71.6273,53.47,100,0,3.44
61.4681,128.9203,59.05,85,99,3.02
-3.3783,-68.8725,75.24,92,48,4.47
39.5657,2.5062,79.09,66,0,5.08
52.4503,64.6311,63.5,77,13,7.85
50.1489,-95.8811,71.78,41,3,8.59
20.931,-17.0347,73.38,78,1,19.57
64.8378,-147.7164,64.6,47,0,3.44
61.994,-49.6678,43.61,92,100,7.52
66.0,111.5,58.68,83,100,4.16
16.1833,-22.9167,77.92,77,99,12.97
36.7281,-108.2187,87.78,29,0,11.5
29.0331,21.5482,81.68,47,0,16.96
5.1033,73.0708,80.56,82,39,12.84
40.1333,63.45,77.43,27,0,11.92
37.4695,-105.87,84.18,23,40,13.8
62.2667,24.7,60.98,90,100,6.89
5.6592,-53.7767,78.42,87,53,8.12
12.5898,6.5779,79.47,73,61,8.9
15.1713,-7.2889,80.65,66,100,7.09
54.4667,9.8333,60.12,91,5,3.44
14.66,120.5653,80.15,82,100,2.04
-22.9,44.5333,59.18,72,38,4.94
53.9606,105.8817,56.28,79,65,1.66
31.85,-112.8333,96.35,33,75,5.03
65.3667,64.6667,49.86,64,79,3.36
-14.97,22.6814,58.15,24,0,5.32
63.4453,120.3167,60.24,77,99,4.65
17.4924,44.1277,84.85,33,93,3.0
42.63,131.0922,69.84,79,96,2.1
61.5071,38.9456,52.32,79,44,4.83
43.6475,111.9767,71.47,51,1,7.09
-0.1934,-74.7819,73.17,96,60,2.17
14.906,105.0784,76.82,94,100,9.13
51.226,-58.6502,61.0,68,0,9.42
9.4942,50.8122,77.07,78,91,31.56
16.9206,97.3714,75.13,93,98,3.58
34.388,67.0233,51.91,52,0,5.12
0.5333,72.9333,81.45,73,9,3.56
-36.7167,-73.1167,49.68,76,0,4.61
64.0049,-22.5624,49.91,93,75,6.91
4.1842,102.0468,72.48,98,90,0.07
-18.0311,-41.685,77.2,39,42,5.06
12.7794,45.0367,84.61,74,100,10.4
50.8331,-118.9856,86.18,40,77,3.8
-11.3847,43.2844,75.13,74,2,5.55
-15.4333,49.7333,67.14,82,87,9.48
-0.8833,131.25,78.26,84,26,4.41
13.6408,16.4901,84.36,62,98,14.88
18.2333,75.7,73.27,86,100,16.13
-1.5746,9.2618,71.47,88,17,8.16
-6.0167,144.9667,67.82,72,100,0.36
65.85,74.4859,47.25,76,18,2.15
-35.2613,174.1236,58.23,82,99,12.75
-23.1811,-50.6467,49.5,85,70,5.19
45.65,0.15,79.75,34,0,8.05
35.6678,-101.3974,93.88,38,75,8.01
-17.9667,122.2333,66.15,63,7,10.36
-28.5354,24.5215,45.68,23,37,4.43
-17.3667,30.2,59.2,46,0,4.14
-9.8607,124.284,65.79,81,39,3.36
10.3854,-9.3057,73.24,93,100,2.53
54.6333,-8.45,58.75,80,5,0.74
-6.8367,-79.9342,64.69,77,0,17.27
32.3754,15.0925,81.37,66,0,3.62
34.7992,48.5146,70.68,37,0,6.91
-20.2833,44.2833,68.88,58,0,9.26
28.0996,-16.681,69.69,72,75,6.91
-34.0527,23.3716,57.25,87,100,2.19
17.0197,-25.0647,80.6,82,55,11.36
14.25,75.6667,71.46,87,100,18.16
51.9548,20.1584,63.75,64,97,6.85
58.9034,17.9479,64.17,78,97,9.42
7.0419,134.2556,81.1,71,19,3.53
-20.7377,116.8463,58.87,32,0,13.8
-16.9833,-67.2167,50.99,78,26,0.96
36.0564,103.7922,75.94,78,98,2.44
49.6333,142.1667,65.86,79,80,10.45
52.7025,21.0828,64.06,82,47,6.93
-11.0964,-77.6139,63.75,77,14,9.6
31.4451,12.9801,75.16,54,0,8.34
34.2257,-77.9447,89.51,55,0,14.97
18.9048,-3.5265,97.07,28,4,9.19
50.7214,136.6319,57.96,92,85,3.09
16.8634,-99.8901,84.02,70,75,6.91
62.0989,126.6992,61.7,69,17,8.08
45.3001,-122.9732,79.16,55,75,6.91
-6.6447,-51.995,81.43,34,16,0.74
51.2585,-80.6094,55.62,87,82,12.77
1.6381,18.0667,74.37,78,100,2.46
43.4166,-116.1262,90.91,34,0,7.0
60.7161,-135.0538,51.31,71,100,5.99
54.4815,53.471,64.56,83,23,2.17
55.1001,-105.2842,64.4,47,13,6.49
66.4167,112.4,57.45,93,100,5.48
10.1483,-85.452,77.23,93,99,4.32
25.75,-1.0,93.33,11,0,11.43
37.3413,-79.9431,83.61,81,20,5.75
33.6103,-114.5964,104.45,29,0,16.11
